complaint_id,complaint_text,category,issue_subtype,duplicate_group_id,location,priority,status,reported_by_role,date_reported
20,Room temperature isn't dropping even with AC on full in Room C126.,HVAC/Fan,AC not cooling,1002,Room E120,Low,Open,Student,2026-05-18
21,There's no water coming from the tap in Room D104.,Plumbing,no water supply,1008,Room B108,High,Resolved,Faculty,2025-05-12
22,Entire room has no electricity since morning.,Electrical,no electricity,1005,Room C103,High,Resolved,Student,2025-02-13
23,The window fan has completely stopped working.,HVAC/Fan,fan not working,1001,Hostel 7 common washroom,Medium,Resolved,Student,2025-03-17
24,There's a loud grinding coming from the main door fan in my room.,HVAC/Fan,fan making noise,1000,Room D120,Low,Resolved,Student,2026-02-09
25,"Taps in Room E112 are completely dry, no water at all.",Plumbing,no water supply,1008,Room B121,High,Open,Student,2024-02-06
26,There's a constant leak from the wash basin tap in Room C130.,Plumbing,tap leaking,1007,Hostel 2 common washroom,Low,Open,Student,2026-02-04
27,There's no water coming from the tap in Room E125.,Plumbing,no water supply,1008,Room C126,High,Open,Student,2025-09-07
28,"There are cockroaches in Room E106, needs pest control.",Cleaning/Sanitation,pest issue,1020,Block B Floor 3 corridor,High,In Progress,Student,2024-01-23
29,Power has been out in Room A109 for hours now.,Electrical,no electricity,1005,Room E139,Low,Resolved,Student,2025-07-28
30,Bed in Room B138 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room A122,High,In Progress,Student,2026-03-19
31,Neighbors near the window play loud music till late night.,Noise/Nuisance,noise disturbance,1021,Hostel 1 common washroom,Low,Resolved,Student,2024-03-06
32,Mosquito infestation is bad in Room B134 this week.,Cleaning/Sanitation,pest issue,1020,Room B140,Low,Open,Student,2026-01-31
33,Air conditioner is running but blowing warm air.,HVAC/Fan,AC not cooling,1002,Room E104,Low,Resolved,Student,2025-01-19
34,There's a crack forming on the ceiling in Room A113.,Structural,ceiling/wall damage,1014,Room C142,Low,Resolved,Staff,2025-05-14
35,"There are cockroaches in Block D Floor 4 corridor, needs pest control.",Cleaning/Sanitation,pest issue,1020,Room B136,High,Open,Student,2026-06-24
36,Corridor near the kitchen area is full of dust and garbage.,Cleaning/Sanitation,room not cleaned,1019,Room C101,Low,Resolved,Student,2024-01-26
37,I found ants all over the entrance in my room.,Cleaning/Sanitation,pest issue,1020,Room C103,Low,In Progress,Student,2024-07-14
38,Construction noise near Room A124 is disturbing classes/sleep.,Noise/Nuisance,noise disturbance,1021,Room A124,Low,Open,Student,2026-07-27
39,My entrance fan is vibrating badly and making screeching sounds.,HVAC/Fan,fan making noise,1000,Room C143,Low,In Progress,Student,2025-12-07
40,Bed in Room A140 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room E137,High,Resolved,Student,2026-03-19
41,The power socket in Room E130 isn't working.,Electrical,power outlet not working,1003,Block D Floor 2 corridor,Medium,In Progress,Student,2024-10-22
42,Electrical outlet near the washbasin has stopped working.,Electrical,power outlet not working,1003,Room A121,Medium,Open,Student,2024-06-09
43,There's a constant leak from the wash basin tap in Room B121.,Plumbing,tap leaking,1007,Block B Floor 3 corridor,Low,In Progress,Warden,2026-08-15
44,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room D133,Medium,Resolved,Student,2025-01-05
45,There's water seepage on the wall in Room C109.,Structural,seepage/dampness,1016,Room E107,High,Open,Warden,2025-09-20
46,"Toilet flush isn't working properly in Room E104, backing up.",Plumbing,toilet clogged,1009,Room D113,Medium,Resolved,Warden,2024-01-18
47,"Wardrobe hinge is broken, door keeps falling off.",Furniture,cupboard/door issue,1013,Room E108,Medium,Open,Staff,2026-04-17
48,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room A113,Low,Resolved,Staff,2025-04-26
49,There's a constant leak from the wash basin tap in Room A108.,Plumbing,tap leaking,1007,Room D108,High,Open,Student,2024-01-15
50,Internet speed in Room A137 is extremely slow.,Internet/WiFi,slow internet,1018,Room B102,Medium,Resolved,Student,2025-10-15
51,The light in Room E141 keeps flickering on and off.,Electrical,light flickering,1004,Room E108,Medium,Escalated,Student,2025-09-16
52,"Window in my room won't close all the way, lets in rain.",Structural,door/window broken,1015,Room C141,High,In Progress,Student,2025-09-13
53,"The chair in Room D144 is broken, one leg is cracked.",Furniture,chair broken,1011,Room A107,High,In Progress,Student,2025-04-27
54,Construction noise near Room D125 is disturbing classes/sleep.,Noise/Nuisance,noise disturbance,1021,Room E110,Low,Resolved,Student,2026-03-28
55,The power socket in Room C121 isn't working.,Electrical,power outlet not working,1003,Room E113,Medium,Open,Student,2025-09-08
56,"The door lock in Room A127 is broken, doesn't latch properly.",Structural,door/window broken,1015,Hostel 5 common washroom,Medium,In Progress,Student,2026-01-10
57,"The chair in Block D Floor 4 corridor is broken, one leg is cracked.",Furniture,chair broken,1011,Room D125,High,Open,Student,2025-08-03
58,WiFi is too slow to even load a webpage in my room.,Internet/WiFi,slow internet,1018,Room C124,High,Resolved,Student,2024-10-18
59,The toilet in Room D121 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room D130,Medium,Escalated,Student,2024-10-30
60,There's a constant leak from the wash basin tap in Room A113.,Plumbing,tap leaking,1007,Room A141,Low,Resolved,Student,2025-06-02
61,Ceiling in Room B101 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room C122,Medium,Resolved,Student,2025-07-16
62,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room C103,Medium,Open,Student,2025-12-20
63,Main door hinge near the wall-mounted is loose and squeaky.,Structural,door/window broken,1015,Room A110,Medium,Resolved,Student,2025-08-25
64,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room D110,High,Resolved,Student,2026-06-10
65,The WiFi router near the bathroom seems to be down.,Internet/WiFi,wifi not working,1017,Hostel 4 common washroom,Medium,In Progress,Student,2024-06-20
66,"Desk near the hallway has a cracked surface, needs repair.",Furniture,bed/desk damaged,1012,Room D129,High,Open,Student,2024-12-24
67,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Block C Floor 1 corridor,Low,Open,Student,2024-07-07
68,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room E128,High,In Progress,Staff,2025-04-05
69,There's a constant leak from the wash basin tap in Room D113.,Plumbing,tap leaking,1007,Room A135,Low,Open,Student,2024-03-04
70,There's constant loud noise coming from Room C143 at night.,Noise/Nuisance,noise disturbance,1021,Hostel 3 common washroom,Low,Open,Student,2025-04-21
71,The bed frame in Room D114 is creaking and unstable.,Furniture,bed/desk damaged,1012,Room C108,Medium,Open,Faculty,2024-04-29
72,The Room C107 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room B111,Low,In Progress,Student,2025-09-03
73,Mosquito infestation is bad in Room B107 this week.,Cleaning/Sanitation,pest issue,1020,Room C115,Low,In Progress,Staff,2025-08-26
74,There's a pipe leaking under the bed in Room C131.,Plumbing,pipe leakage,1010,Room A144,Medium,Open,Visitor,2025-02-16
75,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room A118,Medium,Escalated,Student,2026-01-14
76,Can someone check the ceiling fan? It's grinding every time it spins.,HVAC/Fan,fan making noise,1000,Room B132,Low,Open,Student,2024-03-24
77,Mosquito infestation is bad in Room D117 this week.,Cleaning/Sanitation,pest issue,1020,Room A124,Low,Resolved,Student,2024-04-10
78,Mold is forming on the wall due to constant dampness in Room C138.,Structural,seepage/dampness,1016,Room C131,High,Escalated,Student,2026-01-09
79,Ceiling in my room looks like it's sagging slightly.,Structural,ceiling/wall damage,1014,Room D101,High,Open,Student,2025-02-24
80,The bed frame in Room B101 is creaking and unstable.,Furniture,bed/desk damaged,1012,Hostel 1 common washroom,Medium,In Progress,Student,2024-12-13
81,Internet speed in Room E104 is extremely slow.,Internet/WiFi,slow internet,1018,Room B139,Medium,In Progress,Student,2026-03-23
82,AC unit in my room has stopped cooling properly.,HVAC/Fan,AC not cooling,1002,Room B114,Medium,Resolved,Student,2024-12-01
83,Fan stopped spinning suddenly in Room D117.,HVAC/Fan,fan not working,1001,Room C115,Medium,Resolved,Warden,2025-11-17
84,Paint is peeling off the ceiling due to dampness in Block C Floor 3 corridor.,Structural,ceiling/wall damage,1014,Room E119,Medium,Open,Staff,2024-10-01
85,"Tube light in my room flickers constantly, very annoying.",Electrical,light flickering,1004,Room B108,Low,Resolved,Student,2024-10-11
86,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room B117,High,In Progress,Student,2025-11-02
87,The washbasin fan is making a weird screeching noise.,HVAC/Fan,fan making noise,1000,Room B133,Low,Resolved,Warden,2025-01-28
88,The toilet in Room C137 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room E106,Medium,Open,Student,2024-02-23
89,"Room smells damp, there's visible moisture near the main door.",Structural,seepage/dampness,1016,Room E134,Low,Open,Staff,2024-07-01
90,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room E129,High,In Progress,Student,2025-01-20
91,Ceiling in Room C127 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room B130,Medium,Open,Warden,2024-02-11
92,"There are exposed wires near the bathroom in Room A123, looks dangerous.",Electrical,wiring exposed / hazard,1006,Hostel 1 common washroom,High,Open,Student,2025-07-10
93,There's no power supply at all in Room E142.,Electrical,no electricity,1005,Room D102,High,In Progress,Student,2026-01-03
94,There's constant loud noise coming from Room B106 at night.,Noise/Nuisance,noise disturbance,1021,Room D135,Low,Resolved,Staff,2026-01-02
95,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room C128,Medium,Resolved,Student,2026-03-10
96,Wall near the wardrobe has a large crack spreading.,Structural,ceiling/wall damage,1014,Room D126,High,Resolved,Student,2025-07-23
97,Ceiling in Room B120 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room D141,High,Resolved,Warden,2024-09-07
98,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room B132,Low,Resolved,Student,2024-10-21
99,Common washroom near the staircase landing is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Block A Floor 1 corridor,Low,Resolved,Student,2025-08-01
100,The AC in Room B135 isn't cooling the room at all.,HVAC/Fan,AC not cooling,1002,Room B119,Low,Open,Warden,2025-03-14
101,The tap in Room B118 is leaking non-stop.,Plumbing,tap leaking,1007,Room D130,High,Resolved,Student,2026-03-03
102,"Wardrobe hinge is broken, door keeps falling off.",Furniture,cupboard/door issue,1013,Room B101,Medium,In Progress,Student,2024-02-15
103,Window glass in Room D119 is cracked.,Structural,door/window broken,1015,Room E101,Medium,Open,Student,2025-09-26
104,Paint is peeling off the ceiling due to dampness in Room E107.,Structural,ceiling/wall damage,1014,Block A Floor 4 corridor,Low,Open,Student,2024-03-04
105,Fan in Room A144 doesn't turn on at all anymore.,HVAC/Fan,fan not working,1001,Room D112,Low,Open,Student,2024-03-13
106,The ceiling light keeps going dim then bright in my room.,Electrical,light flickering,1004,Room B119,Low,In Progress,Student,2024-07-17
107,WiFi is too slow to even load a webpage in my room.,Internet/WiFi,slow internet,1018,Room D116,Medium,Resolved,Student,2025-03-13
108,The cupboard door in Room B135 won't close properly.,Furniture,cupboard/door issue,1013,the main lobby,Low,Resolved,Student,2025-05-12
109,The AC in Room A114 isn't cooling the room at all.,HVAC/Fan,AC not cooling,1002,Room B105,Low,Open,Student,2026-06-24
110,The light in Room E117 keeps flickering on and off.,Electrical,light flickering,1004,Room B117,Medium,Resolved,Staff,2025-01-09
111,"The switchboard in my room has sparking wires, feels unsafe.",Electrical,wiring exposed / hazard,1006,Room D120,Low,Resolved,Faculty,2026-05-28
112,"My room lost electricity completely, need urgent fix.",Electrical,no electricity,1005,Block B Floor 4 corridor,High,Open,Student,2025-03-22
113,The cupboard door in Room B118 won't close properly.,Furniture,cupboard/door issue,1013,Room E136,Low,Resolved,Visitor,2025-03-13
114,The bed frame in Room C138 is creaking and unstable.,Furniture,bed/desk damaged,1012,Room C130,Medium,In Progress,Student,2024-06-09
115,Common washroom near the wall-mounted is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Room C102,Low,Resolved,Staff,2026-08-10
116,There's a pipe leaking under the balcony in Room C104.,Plumbing,pipe leakage,1010,Room E109,Medium,Resolved,Student,2025-02-06
117,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room B131,High,Open,Student,2025-11-25
118,"My room lost electricity completely, need urgent fix.",Electrical,no electricity,1005,Room C129,High,In Progress,Student,2024-01-08
119,Common washroom near the corner is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Block A Floor 1 corridor,Low,Resolved,Faculty,2025-02-03
120,WiFi isn't working at all in Room A113.,Internet/WiFi,wifi not working,1017,Room E120,Medium,In Progress,Student,2025-11-03
121,Water is seeping through the wall near the bathroom pipe.,Plumbing,pipe leakage,1010,Room E103,Low,Open,Student,2024-08-02
122,Mosquito infestation is bad in Room A144 this week.,Cleaning/Sanitation,pest issue,1020,Room C144,Low,Resolved,Staff,2024-10-18
123,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room A120,Medium,In Progress,Warden,2025-06-03
124,"Fan in Room A130 is really noisy, sounds like a jet engine.",HVAC/Fan,fan making noise,1000,Room E126,Low,Escalated,Student,2025-08-26
125,"Fan in Room C130 is really noisy, sounds like a rattling tin can.",HVAC/Fan,fan making noise,1000,Room B124,Low,Open,Student,2025-08-13
126,None of the plug points in my room are giving electricity.,Electrical,power outlet not working,1003,Room D107,Low,Resolved,Staff,2026-01-28
127,The entrance fan is making a weird rattling noise.,HVAC/Fan,fan making noise,1000,Room E123,Low,Open,Student,2025-07-19
128,"Toilet flush isn't working properly in Room D123, backing up.",Plumbing,toilet clogged,1009,Room A144,Medium,Open,Student,2024-11-08
129,Room temperature isn't dropping even with AC on full in Room D106.,HVAC/Fan,AC not cooling,1002,Room C116,Low,Open,Student,2024-12-05
130,Common washroom near the room is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Room D137,Low,Resolved,Student,2024-07-08
131,Fan in Hostel 1 common washroom doesn't turn on at all anymore.,HVAC/Fan,fan not working,1001,Room D111,Low,In Progress,Student,2025-05-27
132,AC unit in my room has stopped cooling properly.,HVAC/Fan,AC not cooling,1002,Room C129,Medium,In Progress,Warden,2024-11-27
133,"The chair in Room E102 is broken, one leg is cracked.",Furniture,chair broken,1011,Room B132,High,In Progress,Student,2026-01-04
134,Bed in Room D121 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room E119,High,In Progress,Staff,2024-02-04
135,The Room A143 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room B108,Low,Resolved,Student,2024-02-06
136,"Taps in Room C107 are completely dry, no water at all.",Plumbing,no water supply,1008,Room B102,High,Resolved,Visitor,2025-03-28
137,Power has been out in Room B112 for hours now.,Electrical,no electricity,1005,Room A136,Low,Resolved,Staff,2024-02-24
138,Wall near the balcony has a large crack spreading.,Structural,ceiling/wall damage,1014,Room E102,High,In Progress,Warden,2024-05-07
139,Ceiling in my room looks like it's sagging slightly.,Structural,ceiling/wall damage,1014,Room C105,High,In Progress,Warden,2024-10-13
140,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room C139,Medium,In Progress,Student,2025-03-12
141,AC unit in my room has stopped cooling properly.,HVAC/Fan,AC not cooling,1002,Room A106,Medium,In Progress,Student,2026-03-01
142,No internet connectivity in my room since last night.,Internet/WiFi,wifi not working,1017,Room A102,Low,Open,Student,2026-07-19
143,"Room smells damp, there's visible moisture near the hallway.",Structural,seepage/dampness,1016,Room D142,Low,Open,Student,2026-01-31
144,Paint is peeling off the ceiling due to dampness in Room B109.,Structural,ceiling/wall damage,1014,Room B138,Low,In Progress,Student,2025-11-29
145,There's no water coming from the tap in Room E107.,Plumbing,no water supply,1008,Room E134,High,Open,Student,2024-02-15
146,Ceiling in Room D112 is damp because of a leaking pipe above.,Plumbing,pipe leakage,1010,Room E140,Medium,Open,Student,2026-01-11
147,Internet speed in Room A141 is extremely slow.,Internet/WiFi,slow internet,1018,Room A143,Medium,Open,Staff,2025-01-12
148,Study table in my room has a broken drawer.,Furniture,bed/desk damaged,1012,Room C123,Medium,Resolved,Student,2025-12-26
149,"Fan in Room C143 is really noisy, sounds like a rattling tin can.",HVAC/Fan,fan making noise,1000,Room B109,Low,Open,Student,2025-12-03
150,"Room smells damp, there's visible moisture near the bed.",Structural,seepage/dampness,1016,Room C131,Low,In Progress,Student,2025-03-16
151,The balcony fan switch works but the blades don't move.,HVAC/Fan,fan not working,1001,Block D Floor 3 corridor,High,Open,Student,2024-03-04
152,"My room lost electricity completely, need urgent fix.",Electrical,no electricity,1005,Room B123,High,Open,Student,2024-09-05
153,The light in Room B135 keeps flickering on and off.,Electrical,light flickering,1004,Room B137,Medium,Open,Student,2025-12-31
154,The AC in Room B102 isn't cooling the room at all.,HVAC/Fan,AC not cooling,1002,Room E103,Low,Escalated,Student,2024-04-15
155,Internet keeps disconnecting every few minutes in Room E142.,Internet/WiFi,wifi not working,1017,Room E139,Medium,In Progress,Student,2025-05-31
156,Chair near the common room has a broken backrest.,Furniture,chair broken,1011,Block A Floor 2 corridor,Low,Open,Visitor,2025-03-03
157,"Lights in Room A111 are unstable, they blink randomly.",Electrical,light flickering,1004,Room A126,Low,In Progress,Student,2025-01-29
158,My study chair wobbles a lot and feels unsafe to sit on.,Furniture,chair broken,1011,Room B105,High,In Progress,Warden,2024-10-20
159,Entire room has no electricity since morning.,Electrical,no electricity,1005,Room C143,High,In Progress,Warden,2026-04-13
160,The WiFi router near the entrance seems to be down.,Internet/WiFi,wifi not working,1017,Room E114,Low,In Progress,Student,2025-05-17
161,"There are cockroaches in Block A Floor 3 corridor, needs pest control.",Cleaning/Sanitation,pest issue,1020,Room D104,High,Open,Student,2024-12-07
162,Neighbors near the ceiling play loud music till late night.,Noise/Nuisance,noise disturbance,1021,Room C121,Low,Open,Student,2025-12-26
163,Bed in Room B130 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room D133,High,Resolved,Student,2026-05-07
164,My common room fan is vibrating badly and making squeaking sounds.,HVAC/Fan,fan making noise,1000,Room A113,Low,Resolved,Staff,2026-04-21
165,"Lights in Room B113 are unstable, they blink randomly.",Electrical,light flickering,1004,the library reading room,Low,Open,Student,2025-10-08
166,There's no power supply at all in Block C Floor 2 corridor.,Electrical,no electricity,1005,Room E125,High,Open,Student,2025-09-19
167,Construction noise near Room C102 is disturbing classes/sleep.,Noise/Nuisance,noise disturbance,1021,Room B116,Low,Resolved,Student,2025-09-01
168,Neighbors near the hallway play loud music till late night.,Noise/Nuisance,noise disturbance,1021,Room E128,Low,Open,Warden,2024-08-03
169,Bed in Room B109 is sagging badly in the middle.,Furniture,bed/desk damaged,1012,Room B104,Low,In Progress,Student,2026-08-08
170,The light in Room B117 keeps flickering on and off.,Electrical,light flickering,1004,Room B135,Medium,Open,Student,2024-01-07
171,"Wardrobe hinge is broken, door keeps falling off.",Furniture,cupboard/door issue,1013,Room A112,Medium,In Progress,Student,2024-02-12
172,The cupboard door in Room C127 won't close properly.,Furniture,cupboard/door issue,1013,Block D Floor 3 corridor,Low,Resolved,Student,2025-04-02
173,Water is seeping through the wall near the bathroom pipe.,Plumbing,pipe leakage,1010,Room E134,Low,Open,Student,2024-07-19
174,There's constant loud noise coming from Room B134 at night.,Noise/Nuisance,noise disturbance,1021,Room A139,Low,Open,Staff,2024-08-13
175,"Toilet flush isn't working properly in Room C104, backing up.",Plumbing,toilet clogged,1009,Room D137,Medium,In Progress,Warden,2026-06-07
176,Common washroom near the window is really dirty.,Cleaning/Sanitation,room not cleaned,1019,Room C132,Low,Resolved,Student,2026-07-07
177,I found ants all over the common room in my room.,Cleaning/Sanitation,pest issue,1020,Room C103,Low,In Progress,Student,2025-04-27
178,Bulb near the washbasin is flickering and about to die.,Electrical,light flickering,1004,Room C112,Medium,Resolved,Staff,2025-12-18
179,"Window in my room won't close all the way, lets in rain.",Structural,door/window broken,1015,Room E112,Low,Open,Student,2024-10-25
180,Water is seeping through the wall near the bathroom pipe.,Plumbing,pipe leakage,1010,Room A104,Low,Open,Staff,2025-09-15
181,The cupboard door in Room B123 won't close properly.,Furniture,cupboard/door issue,1013,Room C109,Low,Open,Warden,2025-06-19
182,The ceiling light keeps going dim then bright in my room.,Electrical,light flickering,1004,Room D103,Low,Escalated,Student,2026-05-08
183,Power point in the room sparked and now doesn't work.,Electrical,power outlet not working,1003,Room D101,Medium,Resolved,Staff,2024-09-11
184,There's constant loud noise coming from Room C124 at night.,Noise/Nuisance,noise disturbance,1021,Room A131,Low,In Progress,Student,2025-05-07
185,Main door hinge near the staircase landing is loose and squeaky.,Structural,door/window broken,1015,Room E103,Medium,Resolved,Student,2025-10-13
186,Trash hasn't been collected from Room B113 for days.,Cleaning/Sanitation,room not cleaned,1019,Room B112,Low,Open,Student,2024-10-15
187,Power has been out in Room E129 for hours now.,Electrical,no electricity,1005,Block A Floor 1 corridor,Low,Resolved,Student,2025-03-01
188,Study table in my room has a broken drawer.,Furniture,bed/desk damaged,1012,Block A Floor 2 corridor,Medium,In Progress,Warden,2025-06-26
189,There's no water coming from the tap in Room C123.,Plumbing,no water supply,1008,Room E121,High,In Progress,Warden,2024-12-04
190,Almirah lock in my room is jammed and won't open.,Furniture,cupboard/door issue,1013,Room A112,Medium,Open,Student,2025-12-20
191,There's no power supply at all in Room B121.,Electrical,no electricity,1005,Room A134,High,Resolved,Student,2025-12-28
192,The WiFi router near the window seems to be down.,Internet/WiFi,wifi not working,1017,Room E126,Low,Resolved,Student,2024-08-24
193,Water supply has been cut off in my bathroom since morning.,Plumbing,no water supply,1008,Room A117,Low,Resolved,Student,2025-03-09
194,Bulb near the bed is flickering and about to die.,Electrical,light flickering,1004,the library reading room,Medium,Resolved,Student,2026-03-02
195,There's a crack forming on the ceiling in Room B130.,Structural,ceiling/wall damage,1014,Room D128,Low,Open,Student,2024-09-30
196,The room fan is making a weird buzzing noise.,HVAC/Fan,fan making noise,1000,Room D101,Low,Resolved,Student,2026-06-27
197,The Room E109 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room B140,Low,Open,Student,2024-05-10
198,The Room D126 hasn't been cleaned in over a week.,Cleaning/Sanitation,room not cleaned,1019,Room E129,High,Resolved,Staff,2025-04-11
199,"Bathroom tap won't shut off properly, water is wasted.",Plumbing,tap leaking,1007,Room E141,Low,Resolved,Student,2025-07-23
200,The toilet in Room B133 is clogged and won't flush.,Plumbing,toilet clogged,1009,Room D103,Medium,Open,Student,2026-03-25
201,WiFi isn't working at all in Room B127.,Internet/WiFi,wifi not working,1017,Room E112,Medium,Open,Student,2026-07-22
202,Internet keeps disconnecting every few minutes in Room C134.,Internet/WiFi,wifi not working,1017,Room E107,Medium,In Progress,Warden,2026-06-28
203,Neighbors near the switchboard play loud music till late night.,Noise/Nuisance,noise disturbance,1021,Room B128,Low,Open,Student,2025-12-08
204,My window fan is vibrating badly and making screeching sounds.,HVAC/Fan,fan making noise,1000,Room C143,Low,In Progress,Student,2025-06-19
205,Power point in the room sparked and now doesn't work.,Electrical,power outlet not working,1003,Room A115,Medium,Resolved,Warden,2026-07-16
206,Corridor near the wardrobe is full of dust and garbage.,Cleaning/Sanitation,room not cleaned,1019,Room D115,Low,In Progress,Student,2025-06-23
207,Water is seeping through the wall near the bathroom pipe.,Plumbing,pipe leakage,1010,Room A117,Low,Open,Student,2026-01-25
208,"Fan in Room A144 is really noisy, sounds like a rattling tin can.",HVAC/Fan,fan making noise,1000,Room E104,Low,In Progress,Student,2024-05-07
209,I can see loose electrical wiring hanging near the switchboard.,Electrical,wiring exposed / hazard,1006,Room D113,High,Open,Student,2026-07-05
210,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room C110,Medium,Resolved,Student,2026-03-11
211,"Toilet flush isn't working properly in Room B108, backing up.",Plumbing,toilet clogged,1009,Room D112,Medium,Resolved,Warden,2025-05-14
212,"My room fan is dead, no rotation even at full speed.",HVAC/Fan,fan not working,1001,Room C140,Medium,In Progress,Warden,2025-11-07
213,Room temperature isn't dropping even with AC on full in Room C107.,HVAC/Fan,AC not cooling,1002,Room C139,Low,Escalated,Student,2025-08-07
214,The ceiling light keeps going dim then bright in my room.,Electrical,light flickering,1004,Room E138,Low,Resolved,Student,2026-03-11
215,Fan in Room B139 doesn't turn on at all anymore.,HVAC/Fan,fan not working,1001,Room B136,Low,Resolved,Student,2024-02-13
216,Window glass in Room C143 is cracked.,Structural,door/window broken,1015,Room D108,High,Resolved,Warden,2024-11-04
217,"Washroom drain is blocked, water isn't going down.",Plumbing,toilet clogged,1009,Room E126,Medium,In Progress,Student,2025-02-22
218,The cupboard door in Room B129 won't close properly.,Furniture,cupboard/door issue,1013,Room C112,Low,In Progress,Student,2025-09-07
219,Mold is forming on the wall due to constant dampness in Room E138.,Structural,seepage/dampness,1016,Room A124,Medium,In Progress,Student,2026-07-28
220,There's a pipe leaking under the window in Room C140.,Plumbing,pipe leakage,1010,Room C124,Medium,Open,Student,2026-06-15
